t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
4.083,-0.2814,-1.0000,-0.0000,0.2814,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.104,-0.2814,-1.0000,-0.0000,0.2814,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.123,-0.2814,-1.0000,-0.0000,0.2814,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.143,-0.2814,-1.0000,-0.0000,0.2814,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.165,-0.2814,-1.0000,-0.0000,0.2814,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.183,-0.2814,-1.0000,-0.0000,0.2814,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.203,-0.2814,-1.0000,-0.0000,0.2814,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.225,-0.2814,-1.0000,-0.0000,0.2814,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.243,-0.2799,-1.0000,-0.0000,0.2799,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.263,-0.2740,-1.0000,-0.0000,0.2740,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.283,-0.2666,-1.0000,-0.0000,0.2666,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.304,-0.2622,-1.0000,-0.0000,0.2622,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.323,-0.2534,-1.0000,-0.0000,0.2534,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.344,-0.2534,-1.0000,-0.0000,0.2534,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.363,-0.2519,-1.0000,-0.0000,0.2519,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.384,-0.2519,-1.0000,-0.0000,0.2519,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.403,-0.2519,-1.0000,-0.0000,0.2519,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.425,-0.2519,-1.0000,-0.0000,0.2519,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.443,-0.2504,-1.0000,-0.0000,0.2504,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.463,-0.2445,-1.0000,-0.0000,0.2445,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.483,-0.2445,-1.0000,-0.0000,0.2445,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.503,-0.2430,-1.0000,-0.0000,0.2430,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.523,-0.2371,-1.0000,-0.0000,0.2371,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.544,-0.2371,-1.0000,-0.0000,0.2371,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.563,-0.2371,-1.0000,-0.0000,0.2371,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.583,-0.2327,-1.0000,-0.0000,0.2327,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.603,-0.2297,-1.0000,-0.0000,0.2297,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.624,-0.2297,-1.0000,-0.0000,0.2297,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.644,-0.2282,-1.0000,-0.0000,0.2282,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.663,-0.2253,-1.0000,-0.0000,0.2253,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.683,-0.2253,-1.0000,-0.0000,0.2253,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.703,-0.2253,-1.0000,-0.0000,0.2253,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.723,-0.2253,-1.0000,-0.0000,0.2253,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.743,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.763,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.783,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.803,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.823,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.843,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.863,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.883,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.903,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.923,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.944,-0.2223,-1.0000,-0.0000,0.2223,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.963,-0.2164,-1.0000,-0.0000,0.2164,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
4.983,-0.2135,-1.0000,-0.0000,0.2135,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.003,-0.2061,-1.0000,-0.0000,0.2061,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.023,-0.1972,-1.0000,-0.0000,0.1972,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.043,-0.1972,-1.0000,-0.0000,0.1972,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.066,-0.1972,-1.0000,-0.0000,0.1972,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.083,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.103,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.123,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.144,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.163,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.183,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.203,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.223,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.243,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.263,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.284,-0.1943,-1.0000,-0.0000,0.1943,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
