t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
2.843,-0.3597,-1.0000,-0.0000,1.3597,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.863,-0.3579,-1.0000,-0.0000,1.3579,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.884,-0.3579,-1.0000,-0.0000,1.3579,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.903,-0.3542,-1.0000,-0.0000,1.3542,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.923,-0.3523,-1.0000,-0.0000,1.3523,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.944,-0.3523,-1.0000,-0.0000,1.3523,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.963,-0.3505,-1.0000,-0.0000,1.3505,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
2.983,-0.3468,-1.0000,-0.0000,1.3468,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.003,-0.3468,-1.0000,-0.0000,1.3468,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.023,-0.3468,-1.0000,-0.0000,1.3468,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.043,-0.3468,-1.0000,-0.0000,1.3468,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.063,-0.3449,-1.0000,-0.0000,1.3449,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.083,-0.3431,-1.0000,-0.0000,1.3431,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.104,-0.3431,-1.0000,-0.0000,1.3431,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.123,-0.3431,-1.0000,-0.0000,1.3431,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.143,-0.3431,-1.0000,-0.0000,1.3431,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.163,-0.3412,-1.0000,-0.0000,1.3412,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.184,-0.3412,-1.0000,-0.0000,1.3412,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.203,-0.3412,-1.0000,-0.0000,1.3412,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.223,-0.3412,-1.0000,-0.0000,1.3412,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.243,-0.3394,-1.0000,-0.0000,1.3394,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.264,-0.3357,-1.0000,-0.0000,1.3357,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.283,-0.3357,-1.0000,-0.0000,1.3357,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.303,-0.3339,-1.0000,-0.0000,1.3339,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.323,-0.3302,-1.0000,-0.0000,1.3302,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.344,-0.3302,-1.0000,-0.0000,1.3302,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.365,-0.3302,-1.0000,-0.0000,1.3302,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.383,-0.3283,-1.0000,-0.0000,1.3283,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.403,-0.3265,-1.0000,-0.0000,1.3265,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.423,-0.3246,-1.0000,-0.0000,1.3246,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.443,-0.3228,-1.0000,-0.0000,1.3228,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.463,-0.3228,-1.0000,-0.0000,1.3228,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
